County_Name,income_ratio
Stevens,5
Swift,4
Todd,4
Traverse,3
Wabasha,3
Wadena,3
Waseca,4
Washington,3
Watonwan,4
Wilkin,4
Winona,4
Wright,3
Yellow Medicine,4
Adams,6
Alcorn,4
Amite,5
Attala,5
Benton,5
Bolivar,6
Calhoun,5
Carroll,5
Chickasaw,5
Choctaw,5
Claiborne,5
Clarke,5
Clay,5
Coahoma,6
Copiah,5
Covington,5
DeSoto,3
Forrest,5
Franklin,4
George,4
Greene,4
Grenada,5
Hancock,4
Harrison,4
Hinds,5
Holmes,6
Humphreys,5
Issaquena,6
Itawamba,4
Jackson,4
Jasper,5
Jefferson,5
Jefferson Davis,6
Jones,4
Kemper,4
Lafayette,5
Lamar,5
Lauderdale,5
Lawrence,4
Leake,5
Lee,4
Leflore,8
Lincoln,5
Lowndes,5
Madison,4
Marion,5
Marshall,4
Monroe,5
Montgomery,5
Neshoba,5
Newton,4
Noxubee,5
Oktibbeha,8
Panola,4
Pearl River,5
Perry,4
Pike,7
Pontotoc,4
Prentiss,5
Quitman,6
Rankin,3
Scott,5
Sharkey,4
Simpson,4
Smith,5
Stone,4
Sunflower,5
Tallahatchie,6
Tate,4
Tippah,4
Tishomingo,4
Tunica,4
Union,4
Walthall,6
Warren,5
Washington,5
Wayne,5
Webster,5
Wilkinson,4
Winston,4
Yalobusha,4
Yazoo,6
Adair,6
Andrew,4
Atchison,3
Audrain,3
Barry,4
Barton,4
Bates,4
Benton,4
Bollinger,4
Boone,4
Buchanan,4
Butler,5
Caldwell,4
Callaway,3
Camden,4
Cape Girardeau,4
Carroll,5
Carter,4
Cass,3
Cedar,3
Chariton,4
Christian,3
Clark,4
Clay,3
Clinton,3
Cole,3
Cooper,3
Crawford,4
Dade,3
Dallas,4
Daviess,3
DeKalb,4
Dent,4
Douglas,4
Dunklin,5
Franklin,3
Gasconade,4
Gentry,4
Greene,4
Grundy,4
Harrison,4
Henry,4
Hickory,4
Holt,4
Howard,3
Howell,4
Iron,4
Jackson,4
Jasper,4
Jefferson,3
Johnson,3
Knox,4
Laclede,3
Lafayette,4
Lawrence,4
Lewis,4
Lincoln,4
Linn,4
Livingston,4
McDonald,4
Macon,3
Madison,4
Maries,4
Marion,4
Mercer,4
Miller,4
Mississippi,4
Moniteau,3
Monroe,3
Montgomery,3
Morgan,4
New Madrid,5
Newton,3
Nodaway,5
Oregon,4
Osage,3
Ozark,4
Pemiscot,5
Perry,3
Pettis,4
Phelps,5
Pike,3
Platte,3
Polk,3
Pulaski,3
Putnam,3
Ralls,3
Randolph,4
Ray,4
Reynolds,4
Ripley,4
St. Charles,3
St. Clair,4
Ste. Genevieve,4
St. Francois,4
St. Louis,4
Saline,3
Schuyler,4
Scotland,4
Scott,4
Shannon,4
Shelby,4
Stoddard,4
Stone,3
Sullivan,3
Taney,4
Texas,5
Vernon,4
Warren,3
Washington,4
Wayne,4
Webster,4
Worth,4
Wright,4
St. Louis City,6
Beaverhead,4
Big Horn,4
Blaine,4
Broadwater,3
Carbon,4
Carter,5
Cascade,4
Chouteau,4
Custer,4
Daniels,3
Dawson,3
Deer Lodge,4
Fallon,4
Fergus,3
Flathead,4
Gallatin,4
Garfield,4
Glacier,6
Golden Valley,3
Granite,3
Hill,4
Jefferson,4
Judith Basin,4
Lake,4
Lewis and Clark,3
Liberty,3
Lincoln,4
McCone,3
Madison,3
Meagher,3
Mineral,4
Missoula,4
Musselshell,4
Park,3
Petroleum,4
Phillips,3
Pondera,4
Powder River,3
Powell,3
Prairie,3
Ravalli,4
Richland,3
Roosevelt,6
Rosebud,4
Sanders,4
Sheridan,4
Silver Bow,5
Stillwater,3
Sweet Grass,4
Teton,3
Toole,4
Treasure,3
Valley,4
Wheatland,4
Wibaux,3
Yellowstone,4
Adams,4
Antelope,3
Arthur,4
Banner,4
Blaine,2
Boone,3
Box Butte,3
Boyd,4
Brown,4
Buffalo,4
Burt,4
Butler,3
Cass,3
Cedar,3
Chase,2
Cherry,3
Cheyenne,4
Clay,3
Colfax,3
Cuming,3
Custer,3
Dakota,4
Dawes,3
Dawson,3
Deuel,3
Dixon,3
Dodge,3
Douglas,4
Dundy,3
Fillmore,4
Franklin,3
Frontier,3
Furnas,4
Gage,4
Garden,3
Garfield,4
Gosper,3
Grant,4
Greeley,4
Hall,4
Hamilton,3
Harlan,3
Hayes,4
Hitchcock,4
Holt,3
Hooker,3
Howard,3
Jefferson,3
Johnson,4
Kearney,3
Keith,4
Keya Paha,3
Kimball,4
Knox,3
Lancaster,4
Lincoln,4
Logan,3
Loup,4
McPherson,5
Madison,4
Merrick,4
Morrill,3
Nance,4
Nemaha,4
Nuckolls,4
Otoe,4
Pawnee,4
Perkins,4
Phelps,4
Pierce,3
Platte,3
Polk,3
Red Willow,4
Richardson,4
Rock,3
Saline,3
Sarpy,3
Saunders,3
Scotts Bluff,4
Seward,3
Sheridan,4
Sherman,3
Sioux,4
Stanton,3
Thayer,3
Thomas,4
Thurston,4
Valley,4
Washington,3
Wayne,4
Webster,4
Wheeler,3
York,4
Churchill,4
Clark,4
Douglas,3
Elko,3
Esmeralda,3
Eureka,8
Humboldt,3
Lander,4
Lincoln,3
Lyon,3
Mineral,5
Nye,4
Pershing,5
Storey,3
Washoe,4
White Pine,4
Carson City,4
Belknap,4
Carroll,4
Cheshire,4
Coos,4
Grafton,4
Hillsborough,4
Merrimack,4
Rockingham,3
Strafford,4
Sullivan,4
Atlantic,5
Bergen,5
Burlington,4
Camden,5
Cape May,4
Cumberland,5
Essex,6
Gloucester,4
Hudson,6
Hunterdon,4
Mercer,5
Middlesex,4
Monmouth,5
Morris,4
Ocean,4
Passaic,5
Salem,5
Somerset,4
Sussex,3
Union,5
Warren,4
Bernalillo,5
Catron,2
Chaves,4
Cibola,5
Colfax,5
Curry,4
De Baca,6
Dona Ana,5
Eddy,4
Grant,4
Guadalupe,3
Harding,3
Hidalgo,5
Lea,4
Lincoln,5
Los Alamos,3
Luna,6
McKinley,7
Mora,5
Otero,4
Quay,3
Rio Arriba,
Roosevelt,5
Sandoval,4
San Juan,4
San Miguel,5
Santa Fe,4
Sierra,5
Socorro,5
Taos,5
Torrance,4
Union,4
Valencia,4
Albany,4
Allegany,4
Bronx,6
Broome,4
Cattaraugus,4
Cayuga,4
Chautauqua,4
Chemung,4
Chenango,4
Clinton,4
Columbia,4
Cortland,4
Delaware,4
Dutchess,4
Erie,5
Essex,4
Franklin,5
Fulton,4
Genesee,4
Greene,4
Hamilton,3
Herkimer,4
Jefferson,3
Kings,6
Lewis,3
Livingston,4
Madison,4
Monroe,4
Montgomery,4
Nassau,4
New York,9
Niagara,4
Oneida,4
Onondaga,4
Ontario,4
Orange,4
Orleans,3
Oswego,4
Otsego,4
Putnam,4
Queens,4
